,AOU,scientific_name,common_name
98,3160,Zenaida macroura,Mourning Dove
99,3830,Crotophaga ani,Smooth-billed Ani
100,3840,Crotophaga sulcirostris,Groove-billed Ani
101,3850,Geococcyx californianus,Greater Roadrunner
102,3870,Coccyzus americanus,Yellow-billed Cuckoo
103,3860,Coccyzus minor,Mangrove Cuckoo
104,3880,Coccyzus erythropthalmus,Black-billed Cuckoo
105,3875,Coccyzus americanus / erythropthalmus,unid. Yellow-billed Cuckoo / Black-billed Cuckoo
106,4210,Chordeiles acutipennis,Lesser Nighthawk
107,4200,Chordeiles minor,Common Nighthawk
108,4201,Chordeiles gundlachii,Antillean Nighthawk
109,4205,Chordeiles acutipennis / minor,unid. Lesser Nighthawk / Common Nighthawk
110,4206,Chordeiles minor / gundlachii,unid. Common Nighthawk / Antillean Nighthawk
111,4190,Nyctidromus albicollis,Common Pauraque
112,4180,Phalaenoptilus nuttallii,Common Poorwill
113,4160,Antrostomus carolinensis,Chuck-will's-widow
114,4171,Antrostomus vociferus,Eastern Whip-poor-will
115,4172,Antrostomus arizonae,Mexican Whip-poor-will
116,4220,Cypseloides niger,Black Swift
117,4230,Chaetura pelagica,Chimney Swift
118,4240,Chaetura vauxi,Vaux's Swift
119,4250,Aeronautes saxatalis,White-throated Swift
120,4260,Eugenes fulgens,Rivoli's Hummingbird
121,4270,Lampornis clemenciae,Blue-throated Mountain-gem
122,4370,Calothorax lucifer,Lucifer Hummingbird
123,4280,Archilochus colubris,Ruby-throated Hummingbird
124,4290,Archilochus alexandri,Black-chinned Hummingbird
125,4295,Archilochus colubris / alexandri,unid. Ruby-throated / Black-chinned Hummingbird
126,4310,Calypte anna,Anna's Hummingbird
127,4300,Calypte costae,Costa's Hummingbird
128,4320,Selasphorus platycercus,Broad-tailed Hummingbird
129,4330,Selasphorus rufus,Rufous Hummingbird
130,4340,Selasphorus sasin,Allen's Hummingbird
131,4335,Selasphorus rufus / sasin,unid. Rufous Hummingbird / Allen's Hummingbird
132,4402,Trochilid sp.,unid. hummingbird
133,4360,Selasphorus calliope,Calliope Hummingbird
134,4410,Cynanthus latirostris,Broad-billed Hummingbird
135,4390,Amazilia yucatanensis,Buff-bellied Hummingbird
136,4391,Amazilia violiceps,Violet-crowned Hummingbird
137,2150,Coturnicops noveboracensis,Yellow Rail
138,2160,Laterallus jamaicensis,Black Rail
139,2111,Rallus obsoletus,Ridgway's Rail
140,2110,Rallus crepitans,Clapper Rail
141,2080,Rallus elegans,King Rail
142,2090,Rallus crepitans / elegans,unid. Clapper / King Rail
143,2120,Rallus limicola,Virginia Rail
144,2140,Porzana carolina,Sora
145,2180,Porphyrio martinicus,Purple Gallinule
146,21930,Porphyrio porphyrio,Purple Swamphen
147,2190,Gallinula galeata,Common Gallinule
148,2210,Fulica americana,American Coot
149,2070,Aramus guarauna,Limpkin
150,2060,Antigone canadensis,Sandhill Crane
151,2040,Grus americana,Whooping Crane
152,2260,Himantopus mexicanus,Black-necked Stilt
153,2250,Recurvirostra americana,American Avocet
154,2860,Haematopus palliatus,American Oystercatcher
155,2870,Haematopus bachmani,Black Oystercatcher
156,2700,Pluvialis squatarola,Black-bellied Plover
157,2720,Pluvialis dominica,American Golden-Plover
158,2721,Pluvialis fulva,Pacific Golden-Plover
159,2730,Charadrius vociferus,Killdeer
160,2750,Charadrius hiaticula,Common Ringed Plover
161,2740,Charadrius semipalmatus,Semipalmated Plover
162,2770,Charadrius melodus,Piping Plover
163,2800,Charadrius wilsonia,Wilson's Plover
164,2810,Charadrius montanus,Mountain Plover
165,2780,Charadrius nivosus,Snowy Plover
166,2610,Bartramia longicauda,Upland Sandpiper
167,2680,Numenius tahitiensis,Bristle-thighed Curlew
168,2650,Numenius phaeopus,Whimbrel
169,2640,Numenius americanus,Long-billed Curlew
170,2500,Limosa lapponica,Bar-tailed Godwit
171,2510,Limosa haemastica,Hudsonian Godwit
172,2490,Limosa fedoa,Marbled Godwit
173,2830,Arenaria interpres,Ruddy Turnstone
174,2840,Arenaria melanocephala,Black Turnstone
175,2340,Calidris canutus,Red Knot
176,2820,Calidris virgata,Surfbird
177,2600,Calidris pugnax,Ruff
178,2380,Calidris acuminata,Sharp-tailed Sandpiper
179,2330,Calidris himantopus,Stilt Sandpiper
180,2422,Calidris ruficollis,Red-necked Stint
181,2480,Calidris alba,Sanderling
182,2430,Calidris alpina,Dunlin
183,2356,Calidris ptilocnemis,Rock Sandpiper
184,2350,Calidris maritima,Purple Sandpiper
185,2410,Calidris bairdii,Baird's Sandpiper
186,2420,Calidris minutilla,Least Sandpiper
187,2400,Calidris fuscicollis,White-rumped Sandpiper
188,2620,Calidris subruficollis,Buff-breasted Sandpiper
189,2390,Calidris melanotos,Pectoral Sandpiper
190,2460,Calidris pusilla,Semipalmated Sandpiper
191,2470,Calidris mauri,Western Sandpiper
192,2429,Calidris sp.,unid. small ''peep'' sandpiper
193,2310,Limnodromus griseus,Short-billed Dowitcher
194,2320,Limnodromus scolopaceus,Long-billed Dowitcher
195,2327,Limnodromus griseus / scolopaceus,unid. Short-billed / Long-billed Dowitcher
196,2280,Scolopax minor,American Woodcock
197,2300,Gallinago delicata,Wilson's Snipe
198,2631,Actitis hypoleucos,Common Sandpiper
199,2630,Actitis macularius,Spotted Sandpiper
200,2560,Tringa solitaria,Solitary Sandpiper
201,2590,Tringa incana,Wandering Tattler
202,2550,Tringa flavipes,Lesser Yellowlegs
