,AOU,scientific_name,common_name
518,7290,Sitta pusilla,Brown-headed Nuthatch
519,7260,Certhia americana,Brown Creeper
520,7150,Salpinctes obsoletus,Rock Wren
521,7170,Catherpes mexicanus,Canyon Wren
522,7210,Troglodytes aedon,House Wren
523,7221,Troglodytes pacificus,Pacific Wren
524,7222,Troglodytes hiemalis,Winter Wren
525,7220,Troglodytes pacificus / hiemalis,unid. Pacific Wren / Winter Wren
526,7240,Cistothorus platensis,Sedge Wren
527,7250,Cistothorus palustris,Marsh Wren
528,7180,Thryothorus ludovicianus,Carolina Wren
529,7190,Thryomanes bewickii,Bewick's Wren
530,7130,Campylorhynchus brunneicapillus,Cactus Wren
531,16600,Thryophilus sinaloa,Sinaloa Wren
532,7510,Polioptila caerulea,Blue-gray Gnatcatcher
533,7530,Polioptila californica,California Gnatcatcher
534,7520,Polioptila melanura,Black-tailed Gnatcatcher
535,7539,Polioptila caerulea / melanura,unid. Blue-gray / Black-tailed Gnatcatcher
536,7010,Cinclus mexicanus,American Dipper
537,7480,Regulus satrapa,Golden-crowned Kinglet
538,7490,Regulus calendula,Ruby-crowned Kinglet
539,7470,Phylloscopus borealis,Arctic Warbler
540,7420,Chamaea fasciata,Wrentit
541,7640,Cyanecula svecica,Bluethroat
542,7650,Oenanthe oenanthe,Northern Wheatear
543,7660,Sialia sialis,Eastern Bluebird
544,7670,Sialia mexicana,Western Bluebird
545,7680,Sialia currucoides,Mountain Bluebird
546,7540,Myadestes townsendi,Townsend's Solitaire
547,7560,Catharus fuscescens,Veery
548,7570,Catharus minimus,Gray-cheeked Thrush
549,7571,Catharus bicknelli,Bicknell's Thrush
550,7580,Catharus ustulatus,Swainson's Thrush
551,7590,Catharus guttatus,Hermit Thrush
552,7550,Hylocichla mustelina,Wood Thrush
553,7610,Turdus migratorius,American Robin
554,7630,Ixoreus naevius,Varied Thrush
555,7040,Dumetella carolinensis,Gray Catbird
556,7070,Toxostoma curvirostre,Curve-billed Thrasher
557,7050,Toxostoma rufum,Brown Thrasher
558,7060,Toxostoma longirostre,Long-billed Thrasher
559,7080,Toxostoma bendirei,Bendire's Thrasher
560,7100,Toxostoma redivivum,California Thrasher
561,7110,Toxostoma lecontei,LeConte's Thrasher
562,7120,Toxostoma crissale,Crissal Thrasher
563,7020,Oreoscoptes montanus,Sage Thrasher
564,7031,Mimus gundlachii,Bahama Mockingbird
565,7030,Mimus polyglottos,Northern Mockingbird
566,4930,Sturnus vulgaris,European Starling
567,4932,Acridotheres tristis,Common Myna
568,6180,Bombycilla garrulus,Bohemian Waxwing
569,6190,Bombycilla cedrorum,Cedar Waxwing
570,6185,Bombycilla garrulus / cedrorum,unid. Cedar Waxwing / Bohemian Waxwing
571,6200,Phainopepla nitens,Phainopepla
572,6510,Peucedramus taeniatus,Olive Warbler
573,19500,Euplectes franciscanus,Northern Red Bishop
574,19510,Vidua macroura,Pin-tailed Whydah
575,8110,Lonchura punctulata,Scaly-breasted Munia
576,6882,Passer domesticus,House Sparrow
577,6883,Passer montanus,Eurasian Tree Sparrow
578,6960,Motacilla tschutschensis,Eastern Yellow Wagtail
579,6940,Motacilla alba,White Wagtail
580,6990,Anthus cervinus,Red-throated Pipit
581,6970,Anthus rubescens,American Pipit
582,7000,Anthus spragueii,Sprague's Pipit
583,5140,Coccothraustes vespertinus,Evening Grosbeak
584,5150,Pinicola enucleator,Pine Grosbeak
585,5240,Leucosticte tephrocotis,Gray-crowned Rosy-Finch
586,5250,Leucosticte atrata,Black Rosy-Finch
587,5260,Leucosticte australis,Brown-capped Rosy-Finch
588,5190,Haemorhous mexicanus,House Finch
589,5170,Haemorhous purpureus,Purple Finch
590,5180,Haemorhous cassinii,Cassin's Finch
591,5195,Carpodacus purpureus / cassinii / mexicanus,unid. Purple Finch / Cassin's Finch / House Finch
592,5280,Acanthis flammea,Common Redpoll
593,5270,Acanthis hornemanni,Hoary Redpoll
594,5275,Carduelis flammea / hornemanni,unid. Common Redpoll / Hoary Redpoll
595,5210,Loxia curvirostra,Red Crossbill
596,5212,Loxia sinesciuris / curvirostra,Unid. Cassia Crossbill / Red Crossbill
597,5220,Loxia leucoptera,White-winged Crossbill
598,5225,Loxia curvirostra / leucoptera,unid. Red Crossbill / White-winged Crossbill
599,5261,Carduelis carduelis,European Goldfinch
600,5330,Spinus pinus,Pine Siskin
601,5300,Spinus psaltria,Lesser Goldfinch
602,5310,Spinus lawrencei,Lawrence's Goldfinch
603,5290,Spinus tristis,American Goldfinch
604,5360,Calcarius lapponicus,Lapland Longspur
605,5380,Calcarius ornatus,Chestnut-collared Longspur
606,5370,Calcarius pictus,Smith's Longspur
607,5390,Rhynchophanes mccownii,McCown's Longspur
608,5340,Plectrophenax nivalis,Snow Bunting
609,5790,Peucaea carpalis,Rufous-winged Sparrow
610,5760,Peucaea botterii,Botteri's Sparrow
611,5780,Peucaea cassinii,Cassin's Sparrow
612,5750,Peucaea aestivalis,Bachman's Sparrow
613,5460,Ammodramus savannarum,Grasshopper Sparrow
614,5860,Arremonops rufivirgatus,Olive Sparrow
615,5730,Amphispiza bilineata,Black-throated Sparrow
616,5520,Chondestes grammacus,Lark Sparrow
617,6050,Calamospiza melanocorys,Lark Bunting
618,5600,Spizella passerina,Chipping Sparrow
619,5610,Spizella pallida,Clay-colored Sparrow
620,5650,Spizella atrogularis,Black-chinned Sparrow
621,5630,Spizella pusilla,Field Sparrow
622,5620,Spizella breweri,Brewer's Sparrow
623,5850,Passerella iliaca,Fox Sparrow
624,5590,Spizelloides arborea,American Tree Sparrow
625,5670,Junco hyemalis hyemalis,(Slate-colored Junco) Dark-eyed Junco
626,5671,Junco hyemalis oreganus,(Oregon Junco) Dark-eyed Junco
627,5680,Junco hyemalis mearnsi,(Pink-sided Junco) Dark-eyed Junco
628,5660,Junco hyemalis aikeni,(White-winged Junco) Dark-eyed Junco
629,5690,Junco hyemalis caniceps,(Gray-headed Junco) Dark-eyed Junco
630,5677,Junco hyemalis,(unid. race) Dark-eyed Junco
631,5700,Junco phaeonotus,Yellow-eyed Junco
632,5540,Zonotrichia leucophrys,White-crowned Sparrow
633,5570,Zonotrichia atricapilla,Golden-crowned Sparrow
634,5530,Zonotrichia querula,Harris's Sparrow
635,5580,Zonotrichia albicollis,White-throated Sparrow
636,5738,Artemisiospiza nevadensis,Sagebrush Sparrow
637,5739,Artemisiospiza belli,Bell's Sparrow
638,5740,Artemisiospiza nevadensis / belli,unid. Sagebrush Sparrow / Bell's Sparrow
639,5400,Pooecetes gramineus,Vesper Sparrow
640,5480,Ammospiza leconteii,LeConte's Sparrow
641,5500,Ammospiza maritima,Seaside Sparrow
642,5491,Ammospiza nelsoni,Nelson's Sparrow
643,5490,Ammospiza caudacuta,Saltmarsh Sparrow
644,5450,Centronyx bairdii,Baird's Sparrow
645,5470,Centronyx henslowii,Henslow's Sparrow
646,5420,Passerculus sandwichensis,Savannah Sparrow
647,5810,Melospiza melodia,Song Sparrow
648,5830,Melospiza lincolnii,Lincoln's Sparrow
649,5840,Melospiza georgiana,Swamp Sparrow
650,5910,Melozone fusca,Canyon Towhee
651,5920,Melozone aberti,Abert's Towhee
652,5911,Melozone crissalis,California Towhee
653,5800,Aimophila ruficeps,Rufous-crowned Sparrow
654,5900,Pipilo chlorurus,Green-tailed Towhee
655,5880,Pipilo maculatus,Spotted Towhee
656,5870,Pipilo erythrophthalmus,Eastern Towhee
657,5871,Pipilo maculatus / erythrophthalmus,unid. Spotted Towhee / Eastern Towhee
658,6830,Icteria virens,Yellow-breasted Chat
659,4970,Xanthocephalus xanthocephalus,Yellow-headed Blackbird
660,4940,Dolichonyx oryzivorus,Bobolink
661,5010,Sturnella magna,Eastern Meadowlark
662,5011,Sturnella neglecta,Western Meadowlark
663,5012,Sturnella magna / neglecta,unid. Eastern Meadowlark / Western Meadowlark
664,5060,Icterus spurius,Orchard Oriole
665,5050,Icterus cucullatus,Hooded Oriole
666,5080,Icterus bullockii,Bullock's Oriole
667,5032,Icterus pectoralis,Spot-breasted Oriole
668,5031,Icterus gularis,Altamira Oriole
669,5030,Icterus graduacauda,Audubon's Oriole
670,5070,Icterus galbula,Baltimore Oriole
671,5078,Icterus bullockii x galbula,hybrid Bullock's Oriole x Baltimore Oriole
672,5077,Icterus bullockii / galbula,unid. Bullock's Oriole / Baltimore Oriole
673,5040,Icterus parisorum,Scott's Oriole
674,4980,Agelaius phoeniceus,Red-winged Blackbird
675,5000,Agelaius tricolor,Tricolored Blackbird
676,4961,Molothrus bonariensis,Shiny Cowbird
677,4960,Molothrus aeneus,Bronzed Cowbird
678,4950,Molothrus ater,Brown-headed Cowbird
679,4955,Molothrus aeneus / ater,unid. Bronzed Cowbird / Brown-headed Cowbird
680,5090,Euphagus carolinus,Rusty Blackbird
681,5100,Euphagus cyanocephalus,Brewer's Blackbird
682,5110,Quiscalus quiscula,Common Grackle
683,5130,Quiscalus major,Boat-tailed Grackle
684,5120,Quiscalus mexicanus,Great-tailed Grackle
685,5135,Quiscalus major / mexicanus,unid. Boat-tailed Grackle / Great-tailed Grackle
686,6740,Seiurus aurocapilla,Ovenbird
687,6390,Helmitheros vermivorum,Worm-eating Warbler
688,6760,Parkesia motacilla,Louisiana Waterthrush
689,6750,Parkesia noveboracensis,Northern Waterthrush
690,6420,Vermivora chrysoptera,Golden-winged Warbler
691,6410,Vermivora cyanoptera,Blue-winged Warbler
692,6412,Vermivora cyanoptera x chrysoptera,Brewster's Warbler (Golden-winged x Blue-winged)
693,6413,Vermivora chrysoptera x cyanoptera,Lawrence's Warbler (Golden-winged x Blue-winged)
694,6360,Mniotilta varia,Black-and-white Warbler
695,6370,Protonotaria citrea,Prothonotary Warbler
696,6380,Limnothlypis swainsonii,Swainson's Warbler
697,6470,Leiothlypis peregrina,Tennessee Warbler
698,6460,Leiothlypis celata,Orange-crowned Warbler
699,6430,Leiothlypis luciae,Lucy's Warbler
700,6450,Leiothlypis ruficapilla,Nashville Warbler
701,6440,Leiothlypis virginiae,Virginia's Warbler
702,6780,Oporornis agilis,Connecticut Warbler
703,6800,Geothlypis tolmiei,MacGillivray's Warbler
704,6790,Geothlypis philadelphia,Mourning Warbler
705,6770,Geothlypis formosa,Kentucky Warbler
706,6810,Geothlypis trichas,Common Yellowthroat
707,6840,Setophaga citrina,Hooded Warbler
708,6870,Setophaga ruticilla,American Redstart
709,6700,Setophaga kirtlandii,Kirtland's Warbler
710,6500,Setophaga tigrina,Cape May Warbler
711,6580,Setophaga cerulea,Cerulean Warbler
712,6480,Setophaga americana,Northern Parula
713,6490,Setophaga pitiayumi,Tropical Parula
714,6570,Setophaga magnolia,Magnolia Warbler
715,6600,Setophaga castanea,Bay-breasted Warbler
716,6620,Setophaga fusca,Blackburnian Warbler
717,6520,Setophaga petechia,Yellow Warbler
718,6590,Setophaga pensylvanica,Chestnut-sided Warbler
719,6610,Setophaga striata,Blackpoll Warbler
720,6540,Setophaga caerulescens,Black-throated Blue Warbler
721,6720,Setophaga palmarum,Palm Warbler
722,6710,Setophaga pinus,Pine Warbler
723,6550,Setophaga coronata coronata,(Myrtle Warbler) Yellow-rumped Warbler
724,6560,Setophaga coronata audoboni,(Audubon's Warbler) Yellow-rumped Warbler
725,6556,Setophaga coronata,(unid. Myrtle/Audubon's) Yellow-rumped Warbler
726,6630,Setophaga dominica,Yellow-throated Warbler
727,6730,Setophaga discolor,Prairie Warbler
728,6640,Setophaga graciae,Grace's Warbler
729,6650,Setophaga nigrescens,Black-throated Gray Warbler
730,6680,Setophaga townsendi,Townsend's Warbler
731,6690,Setophaga occidentalis,Hermit Warbler
732,6686,Setophaga townsendi x occidentalis,hybrid Townsend's Warbler x Hermit Warbler
733,6685,Setophaga townsendi / occidentalis,unid. Townsend's Warbler / Hermit Warbler
734,6660,Setophaga chrysoparia,Golden-cheeked Warbler
735,6670,Setophaga virens,Black-throated Green Warbler
736,6860,Cardellina canadensis,Canada Warbler
737,6850,Cardellina pusilla,Wilson's Warbler
738,6900,Cardellina rubrifrons,Red-faced Warbler
739,6880,Myioborus pictus,Painted Redstart
740,6090,Piranga flava,Hepatic Tanager
741,6100,Piranga rubra,Summer Tanager
742,6080,Piranga olivacea,Scarlet Tanager
743,6070,Piranga ludoviciana,Western Tanager
744,5930,Cardinalis cardinalis,Northern Cardinal
745,5940,Cardinalis sinuatus,Pyrrhuloxia
746,5935,Cardinalis cardinalis / sinuatus,unid. Northern Cardinal / Pyrrhuloxia
747,5950,Pheucticus ludovicianus,Rose-breasted Grosbeak
748,5960,Pheucticus melanocephalus,Black-headed Grosbeak
749,5970,Passerina caerulea,Blue Grosbeak
750,5990,Passerina amoena,Lazuli Bunting
751,5980,Passerina cyanea,Indigo Bunting
752,5986,Passerina amoena x cyanea,hybrid Lazuli Bunting x Indigo Bunting
753,6000,Passerina versicolor,Varied Bunting
754,6010,Passerina ciris,Painted Bunting
755,6040,Spiza americana,Dickcissel
